Model,Mean_absolute_error,Root_mean_square_error,R_2_Score
Linear regression,25.608694985263284,106.86441964748359,-0.04161357929358123
Gradient Boosting,19.045347336757693,87.62734478889705,0.2996426763025941
Polynomial Regression,25.659396234038894,107.23925210078791,-0.048933420682877315
Random Forest,19.476137210491572,85.58145134738157,0.3319643114291809
MLP,28.022777552466394,163.24490940892179,-1.4306345362281045
DNN,24.661686308145523,100.06262459673565,0.08676163041230667
